#Temps:  Energie totale:             LAz:             LAa:         a.(w^L):
   3.94          5.79352         0.169619         0.176761                0
   3.95          5.79333         0.169691         0.176758                0
   3.96          5.79312          0.16977         0.176755                0
   3.97          5.79289         0.169855         0.176751                0
   3.98          5.79262         0.169947         0.176748                0
   3.99          5.79231         0.170045         0.176744                0
      4          5.79196         0.170147         0.176741                0
   4.01          5.79158          0.17025         0.176737                0
   4.02          5.79119         0.170348         0.176734                0
   4.03          5.79089          0.17043          0.17673                0
   4.04          5.79086         0.170475         0.176728                0
   4.05          5.79156         0.170452         0.176728                0
   4.06          5.79383         0.170311         0.176731                0
   4.07          5.79905         0.169987         0.176739                0
   4.08          5.80866         0.169422         0.176753                0
   4.09          5.82233          0.16864         0.176774                0
    4.1          5.83607          0.16784         0.176794                0
   4.11          5.84477         0.167333         0.176806                0
   4.12          5.84763         0.167259         0.176806                0
   4.13          5.84744         0.167485         0.176798                0
   4.14          5.84647         0.167819         0.176787                0
   4.15          5.84554         0.168152         0.176776                0
   4.16          5.84482         0.168445         0.176766                0
   4.17          5.84427         0.168693         0.176758                0
   4.18          5.84384           0.1689         0.176751                0
   4.19           5.8435         0.169072         0.176745                0
    4.2          5.84321         0.169217         0.176739                0
   4.21          5.84296          0.16934         0.176734                0
   4.22          5.84272         0.169444         0.176729                0
   4.23           5.8425         0.169533         0.176725                0
   4.24          5.84229          0.16961         0.176721                0
   4.25          5.84209         0.169676         0.176718                0
   4.26          5.84188         0.169734         0.176714                0
   4.27          5.84168         0.169785         0.176711                0
   4.28          5.84147         0.169829         0.176707                0
   4.29          5.84126         0.169867         0.176704                0
    4.3          5.84105           0.1699         0.176701                0
   4.31          5.84083         0.169929         0.176698                0
   4.32           5.8406         0.169954         0.176694                0
   4.33          5.84036         0.169975         0.176691                0
   4.34          5.84012         0.169992         0.176688                0
   4.35          5.83988         0.170006         0.176684                0
   4.36          5.83962         0.170016         0.176681                0
   4.37          5.83935         0.170023         0.176677                0
   4.38          5.83908         0.170028         0.176673                0
   4.39          5.83879         0.170028          0.17667                0
    4.4           5.8385         0.170026         0.176666                0
   4.41           5.8382         0.170021         0.176661                0
   4.42          5.83788         0.170012         0.176657                0
   4.43          5.83756         0.169999         0.176653                0
   4.44          5.83722         0.169983         0.176648                0
   4.45          5.83688         0.169963         0.176643                0
   4.46          5.83652         0.169939         0.176638                0
   4.47          5.83615         0.169911         0.176633                0
   4.48          5.83578         0.169878         0.176628                0
   4.49          5.83539         0.169841         0.176622                0
    4.5          5.83498         0.169798         0.176617                0
   4.51          5.83457         0.169751         0.176611                0
   4.52          5.83415         0.169697         0.176604                0
   4.53          5.83372         0.169638         0.176598                0
   4.54          5.83327         0.169573         0.176591                0
   4.55          5.83282         0.169502         0.176584                0
   4.56          5.83236         0.169424         0.176577                0
   4.57          5.83189         0.169339          0.17657                0
   4.58          5.83142         0.169247         0.176562                0
   4.59          5.83094         0.169149         0.176554                0
    4.6          5.83046         0.169043         0.176546                0
   4.61          5.82997         0.168931         0.176538                0
   4.62          5.82949         0.168812          0.17653                0
   4.63          5.82902         0.168687         0.176521                0
   4.64          5.82855         0.168557         0.176513                0
   4.65           5.8281         0.168422         0.176505                0
   4.66          5.82767         0.168284         0.176496                0
   4.67          5.82727         0.168144         0.176488                0
   4.68          5.82691         0.168005          0.17648                0
   4.69           5.8266         0.167868         0.176473                0
    4.7          5.82635         0.167737         0.176466                0
   4.71          5.82618         0.167616         0.176459                0
   4.72          5.82612         0.167508         0.176454                0
   4.73          5.82618         0.167418         0.176449                0
   4.74          5.82639         0.167352         0.176446                0
   4.75          5.82679         0.167317         0.176444                0
   4.76           5.8274         0.167319         0.176443                0
   4.77          5.82828         0.167366         0.176445                0
   4.78          5.82947         0.167466         0.176448                0
   4.79          5.83102         0.167627         0.176455                0
    4.8          5.83297         0.167858         0.176463                0
   4.81          5.83538         0.168167         0.176475                0
   4.82           5.8383         0.168561          0.17649                0
   4.83          5.84177         0.169046         0.176509                0
   4.84          5.84583         0.169626         0.176531                0
   4.85          5.85048         0.170302         0.176556                0
   4.86          5.85574         0.171073         0.176585                0
   4.87          5.86156         0.171932         0.176617                0
   4.88          5.86791          0.17287         0.176652                0
   4.89           5.8747         0.173873          0.17669                0
    4.9          5.88181         0.174925         0.176729                0
   4.91          5.88913         0.176006         0.176769                0
   4.92           5.8965         0.177093          0.17681                0
   4.93          5.90379         0.178163          0.17685                0
   4.94          5.91083         0.179195         0.176889                0
   4.95          5.91751         0.180167         0.176927                0
   4.96          5.92371         0.181063         0.176961                0
   4.97          5.92935         0.181869         0.176993                0
   4.98          5.93438         0.182577         0.177021                0
   4.99          5.93877          0.18318         0.177045                0
